cognome,nome,sesso,data_nascita,cod_fiscale,Via,civico,cap,telefono,email,citta,CF_Medico,
Ardengo,Innocenzo,M,1958-10-25,RDNNCN85B02E929J,Via F.Hayez,38,44100,0532749625,inno.arde@tin.it,Ferrara,,17
Rugilo,Astrid,F,1969-04-15,RGLSRD72P60L452C,Via G.Mazzini,203,44100,0532712932,astrid.rugilo@virgilio.it,Ferrara,,12
Rogante,Onofrio,M,1935-05-01,RGNNFR63E27H442S,Passaggio Coperto G.Samona,25,44100,0532767256,onof.roga@yahoo.com,Ferrara,,12
Oriola,Ebe,F,1969-02-26,RLOBEE48M57E167Y,Via F.Munter,110,44100,0532712929,ebe.oriola@tiscali.it,Ferrara,,20
Oriola,Ada,F,1948-01-22,RLODAA57D65F429N,Via Cherasco,70,44100,0532711720,ada.orio@tin.it,Ferrara,,14
Rosolen,Paolo,M,1933-08-19,RSLPLA97D14I924E,Via Seprio,205,44100,0532712935,paolo.rosolen@tin.it,Ferrara,,16
Rovasio,Socrate,M,1949-06-08,RVSSRT74M31L552G,Via Miramare,126,44100,0532711758,socrate.rovasio@katamail.it,Ferrara,,11
Sberna,Aleardo,M,1951-03-14,SBRLRD97C22A179H,Via Fabio Massimo,13/e,44100,0532711726,aleardo.sberna@gmail.com,Ferrara,,20
Sbrozi,Panfilo,M,1987-11-22,SBRPFL65P14D490L,Via V.Rabolini,102,44100,0532712967,panfilo.sbrozi@libero.it,Ferrara,,14
Saccardo,Marinella,F,1941-10-07,SCCMNL89D67E065O,Via Siusi,119,44100,0532767264,m.saccardo@yahoo.it,Ferrara,,13
Ascanio,Palmira,F,1982-07-17,SCNPMR87A70B543O,Via Zama,76,44100,0532752187,palmira.ascanio@aruba.it,Ferrara,,11
Solario,Tarcisio,M,1984-06-28,SLRTCS41P08I301Q,Corso P.Micca,164,44100,0532714023,tarcisio.solario@tiscali.it,Ferrara,,15
Santambrogio,Rosita,F,1946-05-06,SNTRST67R53D711U,Via S.Riccobono,232/e,44100,0532711751,rosita.santambrogio@tin.it,Ferrara,,11
Sarconio,Santo,M,1939-03-02,SRCSNT83R05I306I,Via C.Clericetti,58,44100,0532712971,santo.sarconio@tin.it,Ferrara,,15
Servelli,Remigio,M,1993-05-04,SRVRMG94E05D585I,Via G.Ucelli di Nemi,193,44100,0532767134,remi.serv@tin.it,Ferrara,,12
Asso,Aimone,M,1946-02-14,SSAMNA04E31G881J,Via A.Caretto,72,44100,0532751054,aimone.asso@gmail.com,Ferrara,,17
Stefanazzi,Gaia,F,2005-01-23,STFGAI76P49F715Q,Via G.B.Prandina,220,44100,0532711749,gaia.stefanazzi@virgilio.it,Ferrara,,15
Strangi,Guerrino,M,1949-06-20,STRGRN66H04A531Z,Via E.Biondi,274,44100,0532767143,guer.stra@gmail.it,Ferrara,,14
Tommasino,Roberta,F,1973-08-01,TMMRRT80R56G485P,Via A.Mambretti,232/b,44100,0532749628,rtommasino@gmail.com,Ferrara,,15
Ateniesi,Evelina,F,1965-08-28,TNSVLN72S69B679X,Via B.Menzini,17,44100,0532767259,evelina.ateniesi@aruba.it,Ferrara,,19
Tardivo,Sofia,F,1968-01-02,TRDSFO54T49F675X,Via Antonio da Recanate,77,44100,0532711757,sofia.tardivo@yahoo.com,Ferrara,,17
Termine,Taide,M,1957-07-31,TRMTDA81M18B446G,Via N.Marchese,267,44100,0532767132,taide.termine@gmail.it,Ferrara,,20
Turrino,Nestore,M,2000-11-12,TRRNTR75B13E288T,Via S.Abbondio,64,44100,0532752188,nturrino@libero.it,Ferrara,,20
Valeria,Remigio,M,1968-07-31,VLRRMG61M03C496Q,Via F.Faccio,142,44100,0532712968,remigio.valeria@virgilio.it,Ferrara,,16
Ventrice,Clelia,F,1945-06-05,VNTCLL01H43F853Q,Via G.Zambelli,77,44100,0532767139,clelia.ventrice@libero.it,Ferrara,,18
Avanzini,Romana,F,1967-06-06,VNZRMN72A66H342C,Via F.Pecorari,180,44100,0532752185,romana.avanzini@tin.it,Ferrara,,17
Varriale,Nicoletta,F,1969-08-15,VRRNLT33A43H198Y,Via Cortina d'Ampezzo,205/g,44100,0532712945,nico.varr@tiscali.it,Ferrara,,19
